Dataset,Model,Backbone,Params,NA_Acc,NA_CI,NA_F1,F1_CI,RT_MAE,MAE_CI,Runtime_Hours,Runtime_Std
BPI2012,DATL-TAIA,TinyLLM,10M,78.4,3.0,0.738,0.029,8.52,0.62,0.502,0.034
BPI2012,DATL-TAIA,Qwen2.5,500M,81.2,2.5,0.767,0.025,7.85,0.55,2.145,0.152
BPI2012,DATL-TAIA,Llama3.2,1B,82.5,2.3,0.780,0.023,7.42,0.52,4.320,0.285
BPI2012,DATL-TAIA,GPT2,1.5B,82.8,2.2,0.783,0.022,7.38,0.50,6.580,0.420
BPI2012,Oyamada,TinyLLM,10M,74.6,3.3,0.701,0.032,10.18,0.78,0.523,0.036
BPI2012,Oyamada,Qwen2.5,500M,82.3,2.8,0.740,0.028,9.25,0.68,2.280,0.168
BPI2012,Oyamada,Llama3.2,1B,82.8,2.6,0.753,0.026,8.95,0.65,4.625,0.312
BPI2012,Oyamada,GPT2,1.5B,79.4,2.5,0.756,0.025,8.88,0.62,6.950,0.458
BPI2017,DATL-TAIA,TinyLLM,10M,86.3,1.1,0.818,0.011,6.88,0.52,0.515,0.029
BPI2017,DATL-TAIA,Qwen2.5,500M,88.2,0.9,0.837,0.009,6.25,0.45,2.285,0.165
BPI2017,DATL-TAIA,Llama3.2,1B,89.1,0.8,0.846,0.008,5.92,0.42,4.680,0.298
BPI2017,DATL-TAIA,GPT2,1.5B,89.4,0.8,0.849,0.008,5.85,0.40,7.125,0.485
BPI2017,Oyamada,TinyLLM,10M,86.1,1.5,0.816,0.015,7.18,0.48,0.528,0.033
BPI2017,Oyamada,Qwen2.5,500M,87.5,1.2,0.830,0.012,6.68,0.52,2.420,0.182
BPI2017,Oyamada,Llama3.2,1B,88.3,1.1,0.838,0.011,6.42,0.48,4.895,0.325
BPI2017,Oyamada,GPT2,1.5B,88.6,1.0,0.841,0.010,6.35,0.46,7.380,0.512
BPI2015_2,DATL-TAIA,TinyLLM,10M,48.5,3.2,0.445,0.032,53.85,2.18,0.498,0.028
BPI2015_2,DATL-TAIA,Qwen2.5,500M,52.8,2.8,0.488,0.028,48.52,1.92,2.125,0.148
BPI2015_2,DATL-TAIA,Llama3.2,1B,54.6,2.6,0.506,0.026,46.18,1.85,4.385,0.278
BPI2015_2,DATL-TAIA,GPT2,1.5B,55.1,2.5,0.511,0.025,45.82,1.80,6.720,0.438
BPI2015_2,Oyamada,TinyLLM,10M,45.8,3.5,0.415,0.035,55.22,2.35,0.497,0.031
BPI2015_2,Oyamada,Qwen2.5,500M,49.2,3.1,0.452,0.031,51.85,2.08,2.245,0.165
BPI2015_2,Oyamada,Llama3.2,1B,50.5,2.9,0.465,0.029,50.22,2.02,4.580,0.305
BPI2015_2,Oyamada,GPT2,1.5B,50.9,2.8,0.469,0.028,49.95,1.98,6.985,0.468
BPI2020_DD,DATL-TAIA,TinyLLM,10M,85.6,1.1,0.811,0.011,6.52,0.48,0.512,0.033
BPI2020_DD,DATL-TAIA,Qwen2.5,500M,87.8,0.9,0.833,0.009,5.88,0.42,2.180,0.155
BPI2020_DD,DATL-TAIA,Llama3.2,1B,88.9,0.8,0.844,0.008,5.52,0.38,4.520,0.285
BPI2020_DD,DATL-TAIA,GPT2,1.5B,89.2,0.8,0.847,0.008,5.45,0.36,6.895,0.445
BPI2020_DD,Oyamada,TinyLLM,10M,84.0,1.6,0.795,0.016,7.35,0.45,0.511,0.035
BPI2020_DD,Oyamada,Qwen2.5,500M,86.2,1.3,0.817,0.013,6.72,0.52,2.310,0.172
BPI2020_DD,Oyamada,Llama3.2,1B,87.5,1.2,0.830,0.012,6.38,0.48,4.720,0.312
BPI2020_DD,Oyamada,GPT2,1.5B,87.8,1.1,0.833,0.011,6.28,0.46,7.185,0.498
